Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Learning_Rate
1,0.739589,0.339096,0.694587,0.373670,5.00e-03
2,0.690769,0.379876,0.682280,0.386525,5.00e-03
3,0.680674,0.386525,0.876105,0.206117,5.00e-03
4,0.673069,0.392398,0.688991,0.378989,5.00e-03
5,0.641101,0.423316,0.609948,0.449468,5.00e-03
6,0.611170,0.449690,0.627583,0.429078,5.00e-03
7,0.581361,0.477172,0.711189,0.357713,5.00e-03
8,0.569541,0.486591,0.640509,0.419770,5.00e-03
9,0.563868,0.492354,0.570766,0.487145,5.00e-03
10,0.548184,0.506538,0.535737,0.517287,5.00e-03
11,0.545969,0.509419,0.575239,0.481383,5.00e-03
12,0.541678,0.511968,0.543025,0.510638,5.00e-03
13,0.542178,0.511082,0.582742,0.477837,5.00e-03
14,0.538513,0.515182,0.529863,0.526152,5.00e-03
15,0.532882,0.520390,0.536938,0.519060,5.00e-03
16,0.536037,0.518063,0.524360,0.530142,5.00e-03
17,0.529104,0.523382,0.584485,0.476507,5.00e-03
18,0.527970,0.525266,0.532927,0.519504,5.00e-03
19,0.520568,0.531028,0.548376,0.509309,5.00e-03
20,0.523234,0.528147,0.508692,0.545213,5.00e-03
21,0.515187,0.536126,0.526574,0.523493,5.00e-03
22,0.514907,0.536791,0.537492,0.517730,5.00e-03
23,0.507855,0.541445,0.537008,0.519947,5.00e-03
24,0.491430,0.557292,0.503474,0.546543,5.00e-03
25,0.486375,0.561724,0.517923,0.534574,5.00e-03
26,0.479731,0.569038,0.465587,0.579787,5.00e-03
27,0.480736,0.566379,0.518214,0.534131,5.00e-03
28,0.470899,0.575687,0.474949,0.574025,5.00e-03
29,0.465613,0.580230,0.478868,0.570922,5.00e-03
30,0.458779,0.586879,0.629699,0.430408,5.00e-03
31,0.463454,0.583777,0.476021,0.573138,5.00e-03
32,0.454227,0.591312,0.432690,0.611702,5.00e-03
33,0.456841,0.587766,0.462425,0.580230,5.00e-03
34,0.446039,0.597629,0.460897,0.583777,5.00e-03
35,0.440623,0.603169,0.488564,0.562500,5.00e-03
36,0.440148,0.604056,0.454749,0.588209,5.00e-03
37,0.435930,0.607602,0.423861,0.616578,5.00e-03
38,0.432303,0.611259,0.509475,0.542996,5.00e-03
39,0.427848,0.616024,0.447515,0.596188,5.00e-03
40,0.431786,0.611148,0.537612,0.512411,5.00e-03
41,0.417166,0.625222,0.489668,0.558067,5.00e-03
42,0.424295,0.617575,0.531093,0.520833,5.00e-03
43,0.422051,0.618794,0.495922,0.552748,5.00e-03
44,0.420270,0.621565,0.431033,0.610372,5.00e-03
45,0.411245,0.630762,0.435853,0.606826,5.00e-03
46,0.410536,0.630208,0.543245,0.510638,5.00e-03
47,0.411927,0.627992,0.409624,0.632092,5.00e-03
48,0.411714,0.629876,0.509772,0.542553,5.00e-03
49,0.409759,0.631316,0.495642,0.551862,5.00e-03
50,0.406889,0.632535,0.413117,0.627660,5.00e-03
51,0.406494,0.633865,0.414663,0.626330,5.00e-03
52,0.407555,0.632868,0.400463,0.637855,5.00e-03
53,0.406649,0.632757,0.415657,0.629876,5.00e-03
54,0.394963,0.644947,0.407605,0.636082,5.00e-03
55,0.396919,0.642509,0.456257,0.588209,5.00e-03
56,0.399315,0.640957,0.466734,0.579344,5.00e-03
57,0.394101,0.646609,0.424354,0.616578,5.00e-03
58,0.399453,0.638963,0.473713,0.571809,5.00e-03
59,0.391196,0.648493,0.387637,0.652482,5.00e-03
60,0.380942,0.656361,0.440370,0.603723,5.00e-03
61,0.375248,0.661126,0.450435,0.590426,5.00e-03
62,0.371115,0.665115,0.375557,0.662677,5.00e-03
63,0.367364,0.669548,0.382248,0.658688,5.00e-03
64,0.371640,0.664561,0.438978,0.607713,5.00e-03
65,0.368793,0.668218,0.381486,0.652926,5.00e-03
66,0.360917,0.675199,0.354429,0.682181,5.00e-03
67,0.362490,0.673648,0.397512,0.642287,5.00e-03
68,0.361293,0.674978,0.429653,0.612589,5.00e-03
69,0.355776,0.679743,0.413601,0.626330,5.00e-03
70,0.362350,0.673537,0.380127,0.657801,5.00e-03
71,0.354957,0.680297,0.384814,0.655585,5.00e-03
