Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Learning_Rate
1,0.799954,0.285491,0.778686,0.297321,5.00e-03
2,0.740204,0.333259,0.752898,0.316964,5.00e-03
3,0.699887,0.369420,0.704516,0.363393,5.00e-03
4,0.679881,0.388170,0.775985,0.292857,5.00e-03
5,0.655686,0.409375,0.662646,0.402679,5.00e-03
6,0.653374,0.411830,0.712820,0.359821,5.00e-03
7,0.643483,0.422768,0.656692,0.409821,5.00e-03
8,0.633210,0.429464,0.654808,0.410714,5.00e-03
9,0.610907,0.446875,0.715043,0.353571,5.00e-03
10,0.614250,0.447768,0.604837,0.453571,5.00e-03
11,0.598216,0.459152,0.599086,0.458929,5.00e-03
12,0.592038,0.464509,0.588110,0.469643,5.00e-03
13,0.583803,0.474777,0.592799,0.467857,5.00e-03
14,0.567814,0.490402,0.670663,0.394643,5.00e-03
15,0.571506,0.485714,0.589302,0.469643,5.00e-03
16,0.560176,0.495312,0.593227,0.466964,5.00e-03
17,0.555430,0.501339,0.591844,0.468750,5.00e-03
18,0.550060,0.503795,0.552961,0.506250,5.00e-03
19,0.547514,0.507366,0.586016,0.474107,5.00e-03
20,0.546420,0.507812,0.554619,0.504464,5.00e-03
21,0.532011,0.523214,0.563304,0.497321,5.00e-03
22,0.542002,0.513393,0.612031,0.452679,5.00e-03
23,0.542493,0.511161,0.550989,0.508929,5.00e-03
24,0.532865,0.520759,0.572266,0.486607,5.00e-03
25,0.530599,0.524554,0.549112,0.508929,5.00e-03
26,0.527876,0.523884,0.540037,0.513393,5.00e-03
27,0.525478,0.525670,0.554795,0.502679,5.00e-03
28,0.519875,0.531473,0.590328,0.472321,5.00e-03
29,0.525509,0.526339,0.543409,0.516964,5.00e-03
30,0.520162,0.531696,0.569778,0.489286,5.00e-03
31,0.521669,0.528795,0.563248,0.494643,5.00e-03
32,0.521675,0.530580,0.541016,0.513393,5.00e-03
33,0.509814,0.541964,0.574514,0.482143,5.00e-03
34,0.519361,0.531250,0.528241,0.529464,5.00e-03
35,0.516379,0.535714,0.555612,0.499107,5.00e-03
36,0.511657,0.539286,0.576177,0.479464,5.00e-03
37,0.507128,0.544866,0.618050,0.444643,5.00e-03
38,0.509472,0.541295,0.531400,0.522321,5.00e-03
39,0.504799,0.545089,0.540984,0.508036,5.00e-03
40,0.509311,0.542634,0.549255,0.504464,5.00e-03
